EmployeeNumber,Age,Department,JobRole,OverTime,MonthlyIncome,Salary_Band,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsAtCompany,TotalWorkingYears,Attrition_Flag,Attrition_Probability,Risk_Level
1298,30,Research & Development,Manufacturing Director,Yes,4695,Mid,3,3,3,8,10,0,0.08,Low
1299,29,Research & Development,Laboratory Technician,Yes,3339,Low,3,3,2,7,10,1,0.738,High
1301,28,Research & Development,Research Scientist,No,2080,Low,1,2,4,3,5,0,0.761,High
1303,25,Research & Development,Research Scientist,No,2096,Low,2,2,4,2,2,0,0.205,Low
1304,32,Sales,Sales Executive,No,6209,Mid,4,4,3,10,10,0,0.013,Low
1306,45,Research & Development,Manager,No,18061,High,2,3,2,0,22,0,0.306,Medium
1307,39,Research & Development,Manager,Yes,17123,High,2,3,3,19,21,0,0.861,High
1308,58,Research & Development,Research Scientist,No,2372,Low,3,3,1,2,2,0,0.082,Low
1309,32,Research & Development,Laboratory Technician,No,4883,Mid,3,3,4,10,10,1,0.157,Low
1310,39,Research & Development,Research Scientist,No,3904,Mid,1,3,3,5,6,1,0.545,Medium
1311,30,Research & Development,Laboratory Technician,No,4627,Mid,4,3,1,9,10,0,0.784,High
1312,36,Research & Development,Healthcare Representative,No,7094,High,3,3,4,7,10,0,0.075,Low
1314,46,Human Resources,Human Resources,No,3423,Low,1,4,4,7,10,0,0.224,Low
1315,28,Research & Development,Laboratory Technician,No,6674,High,4,3,3,9,10,0,0.058,Low
1317,50,Research & Development,Research Director,Yes,16880,High,1,3,4,3,25,0,0.079,Low
1318,40,Sales,Sales Executive,Yes,9094,High,2,3,4,5,9,1,0.938,High
1319,52,Sales,Sales Executive,Yes,8446,High,2,2,2,8,10,1,0.92,High
1321,30,Research & Development,Manager,Yes,11916,High,1,3,2,9,9,0,0.286,Low
1322,39,Research & Development,Manufacturing Director,No,4534,Mid,3,3,1,8,9,0,0.144,Low
1324,31,Sales,Sales Executive,Yes,9852,High,3,2,4,10,10,0,0.09,Low
1329,41,Sales,Sales Executive,No,6151,Mid,2,3,3,19,19,0,0.839,High
1331,31,Sales,Sales Representative,Yes,2302,Low,2,4,4,3,3,1,0.904,High
1333,44,Research & Development,Laboratory Technician,No,2362,Low,1,4,1,3,10,1,0.36,Medium
1334,42,Research & Development,Manager,Yes,17861,High,3,2,3,20,21,0,0.029,Low
1336,55,Research & Development,Manager,No,19187,High,3,3,4,19,23,0,0.018,Low
1338,56,Human Resources,Manager,No,19717,High,2,3,4,7,36,0,0.032,Low
1340,40,Research & Development,Research Scientist,No,3544,Low,3,3,3,4,6,0,0.224,Low
1344,34,Research & Development,Healthcare Representative,No,8500,High,4,2,4,9,10,0,0.01,Low
1346,40,Research & Development,Research Scientist,No,4661,Mid,4,3,3,9,9,0,0.101,Low
1349,41,Sales,Sales Executive,No,4103,Mid,1,3,3,9,10,0,0.081,Low
1350,35,Research & Development,Research Scientist,Yes,4249,Mid,3,3,3,9,9,0,0.854,High
1352,51,Human Resources,Manager,Yes,14026,High,2,3,3,33,33,0,0.073,Low
1355,38,Sales,Sales Executive,No,6893,High,1,3,2,7,11,0,0.059,Low
1356,34,Sales,Sales Executive,No,6125,Mid,1,4,3,10,10,0,0.276,Low
1358,25,Research & Development,Laboratory Technician,No,3669,Mid,4,2,4,3,7,0,0.159,Low
1360,58,Research & Development,Manufacturing Director,Yes,10008,High,1,2,3,10,31,1,0.255,Low
1361,40,Research & Development,Laboratory Technician,No,2387,Low,2,3,2,4,7,0,0.223,Low
1362,36,Sales,Sales Executive,No,4639,Mid,1,2,1,15,17,0,0.48,Medium
1363,48,Research & Development,Manufacturing Director,No,7898,High,4,3,4,10,11,0,0.033,Low
1364,27,Sales,Sales Representative,No,2534,Low,4,3,3,1,5,0,0.268,Low
1367,51,Research & Development,Manufacturing Director,No,13142,High,2,2,4,5,29,0,0.374,Medium
1368,18,Research & Development,Laboratory Technician,No,1611,Low,4,4,4,0,0,0,0.014,Low
1369,35,Research & Development,Laboratory Technician,No,5363,Mid,4,3,4,9,10,0,0.197,Low
1371,27,Sales,Sales Executive,No,5071,Mid,4,3,4,6,8,0,0.714,High
1372,55,Sales,Sales Executive,Yes,13695,High,3,2,1,19,24,1,0.88,High
1373,56,Research & Development,Manufacturing Director,Yes,13402,High,2,3,4,19,33,0,0.702,High
1374,34,Research & Development,Research Scientist,No,2029,Low,3,3,1,5,5,0,0.192,Low
1375,40,Research & Development,Healthcare Representative,No,6377,Mid,3,3,2,12,15,0,0.059,Low
1377,34,Research & Development,Laboratory Technician,No,5429,Mid,3,3,2,8,10,0,0.733,High
1379,31,Sales,Sales Representative,No,2785,Low,4,4,3,1,3,1,0.808,High
1380,35,Sales,Sales Executive,Yes,4614,Mid,3,2,4,4,5,1,0.695,High
1382,38,Research & Development,Research Scientist,No,2610,Low,3,3,4,4,4,0,0.029,Low
1383,34,Research & Development,Healthcare Representative,No,6687,High,4,4,3,14,14,0,0.081,Low
1387,28,Sales,Sales Executive,No,4724,Mid,1,3,3,5,5,0,0.645,High
1389,31,Research & Development,Manufacturing Director,Yes,6179,Mid,3,2,4,10,10,1,0.286,Low
1390,39,Sales,Sales Executive,Yes,6120,Mid,4,4,1,5,8,0,0.449,Medium
1391,51,Sales,Sales Executive,No,10596,High,2,3,2,4,14,0,0.552,Medium
1392,41,Research & Development,Research Scientist,Yes,5467,Mid,4,2,4,6,12,0,0.38,Medium
1394,37,Research & Development,Research Scientist,Yes,2996,Low,3,3,3,6,8,0,0.551,Medium
1395,33,Sales,Sales Executive,No,9998,High,4,4,2,5,8,0,0.379,Medium
1396,32,Sales,Sales Executive,Yes,4078,Mid,2,2,3,3,4,0,0.764,High
1397,39,Research & Development,Healthcare Representative,No,10920,High,3,3,3,6,13,0,0.01,Low
1399,25,Sales,Sales Executive,No,6232,Mid,3,2,1,3,6,0,0.406,Medium
1401,52,Research & Development,Manufacturing Director,Yes,13247,High,3,2,4,5,24,0,0.345,Medium
1402,43,Research & Development,Research Scientist,Yes,4081,Mid,3,1,1,20,20,0,0.764,High
1403,27,Sales,Sales Executive,Yes,5769,Mid,4,3,4,6,6,0,0.511,Medium
1405,27,Research & Development,Research Scientist,Yes,2394,Low,3,3,4,8,8,1,0.744,High
1407,26,Research & Development,Research Scientist,No,3904,Mid,4,3,1,4,5,0,0.531,Medium
1408,42,Human Resources,Manager,No,16799,High,1,3,3,20,21,0,0.012,Low
1409,52,Research & Development,Laboratory Technician,No,2950,Low,1,1,3,5,12,0,0.625,High
1411,37,Research & Development,Laboratory Technician,No,3629,Low,3,3,1,3,8,0,0.492,Medium
1412,35,Research & Development,Manufacturing Director,No,9362,High,4,3,3,2,10,0,0.38,Medium
1415,25,Research & Development,Laboratory Technician,No,3229,Low,4,2,1,3,7,0,0.766,High
1417,26,Research & Development,Laboratory Technician,No,3578,Low,1,3,3,7,8,0,0.23,Low
1419,29,Human Resources,Human Resources,No,7988,High,1,2,2,10,10,0,0.717,High
1420,49,Research & Development,Laboratory Technician,No,4284,Mid,1,3,1,4,20,1,0.905,High
1421,29,Research & Development,Healthcare Representative,Yes,7553,High,4,3,3,8,9,1,0.777,High
1422,54,Research & Development,Research Director,No,17328,High,4,2,4,20,29,0,0.019,Low
1423,58,Research & Development,Research Director,Yes,19701,High,1,3,4,9,32,0,0.009,Low
1424,55,Research & Development,Research Director,No,14732,High,4,4,2,7,31,0,0.0,Low
1425,36,Sales,Sales Executive,Yes,9278,High,2,3,1,5,15,0,0.744,High
1427,31,Sales,Sales Representative,No,1359,Low,3,3,2,1,1,1,0.877,High
1428,30,Sales,Sales Executive,No,4779,Mid,1,3,4,3,8,0,0.264,Low
1430,31,Research & Development,Research Director,No,16422,High,2,4,1,3,9,0,0.137,Low
1431,34,Research & Development,Research Scientist,No,2996,Low,1,3,4,4,10,0,0.133,Low
1433,31,Research & Development,Research Scientist,No,1261,Low,2,4,1,1,1,1,0.482,Medium
1434,27,Research & Development,Laboratory Technician,No,2099,Low,1,4,2,5,6,0,0.491,Medium
1435,36,Research & Development,Laboratory Technician,No,5810,Mid,4,2,1,10,10,0,0.626,High
1436,36,Sales,Sales Executive,No,5647,Mid,1,2,3,3,11,0,0.655,High
1438,47,Research & Development,Research Scientist,No,3420,Low,4,2,1,6,17,0,0.513,Medium
1439,25,Sales,Sales Representative,No,4400,Mid,1,3,1,3,6,1,0.955,High
1440,37,Research & Development,Laboratory Technician,No,3500,Low,3,1,3,6,7,0,0.419,Medium
1441,56,Research & Development,Research Scientist,No,2066,Low,1,4,1,3,5,0,0.097,Low
1443,47,Research & Development,Research Director,No,17169,High,3,4,1,20,26,0,0.005,Low
1445,24,Sales,Sales Executive,Yes,4162,Mid,3,3,4,5,5,0,0.181,Low
1446,32,Sales,Sales Executive,No,9204,High,4,2,4,4,7,0,0.065,Low
1447,34,Research & Development,Laboratory Technician,No,3294,Low,2,2,4,5,7,0,0.41,Medium
1448,41,Research & Development,Research Scientist,Yes,2127,Low,3,2,2,4,7,0,0.448,Medium
1449,40,Research & Development,Laboratory Technician,No,3975,Mid,3,4,3,8,11,0,0.018,Low
1453,31,Sales,Sales Executive,No,10793,High,4,3,1,13,13,0,0.239,Low
1457,46,Sales,Sales Executive,No,10096,High,4,4,1,7,28,1,0.087,Low
1458,39,Research & Development,Laboratory Technician,Yes,3646,Mid,1,4,1,1,11,1,0.768,High
1459,31,Research & Development,Manufacturing Director,No,7446,High,2,3,3,10,10,1,0.046,Low
1460,45,Research & Development,Healthcare Representative,Yes,10851,High,1,3,2,7,24,0,0.166,Low
1461,31,Human Resources,Human Resources,No,2109,Low,2,3,4,3,8,0,0.28,Low
1464,31,Research & Development,Laboratory Technician,Yes,3722,Mid,4,1,2,2,7,1,0.955,High
1465,45,Research & Development,Manufacturing Director,Yes,9380,High,4,4,2,3,10,0,0.648,High
1466,48,Sales,Sales Executive,No,5486,Mid,1,3,3,2,15,0,0.167,Low
1467,34,Human Resources,Human Resources,No,2742,Low,3,3,1,2,2,1,0.431,Medium
1468,40,Research & Development,Research Director,No,13757,High,2,3,4,9,16,0,0.001,Low
1469,28,Sales,Sales Executive,No,8463,High,1,3,4,5,6,0,0.216,Low
1471,44,Research & Development,Laboratory Technician,No,3162,Low,3,3,3,5,7,0,0.172,Low
1472,53,Research & Development,Research Director,No,16598,High,2,2,4,9,35,0,0.016,Low
1473,49,Research & Development,Healthcare Representative,No,6651,High,3,2,1,3,20,0,0.161,Low
1474,40,Research & Development,Research Scientist,No,2345,Low,3,4,3,3,8,0,0.03,Low
1475,44,Research & Development,Research Scientist,No,3420,Low,2,2,4,5,6,0,0.287,Low
1477,33,Sales,Sales Executive,No,4373,Mid,1,3,4,4,5,0,0.402,Medium
1478,34,Sales,Sales Executive,No,4759,Mid,1,3,4,13,15,0,0.114,Low
1479,30,Sales,Sales Executive,No,5301,Mid,3,2,4,2,4,0,0.279,Low
1480,42,Research & Development,Laboratory Technician,No,3673,Mid,4,3,1,12,12,0,0.494,Medium
1481,44,Sales,Sales Executive,No,4768,Mid,3,2,1,1,11,0,0.536,Medium
1482,30,Research & Development,Research Scientist,No,1274,Low,3,2,3,1,1,0,0.144,Low
1483,57,Research & Development,Research Scientist,No,4900,Mid,3,2,2,12,13,0,0.029,Low
1484,49,Research & Development,Healthcare Representative,No,10466,High,2,3,3,8,29,0,0.005,Low
1485,34,Research & Development,Research Director,No,17007,High,1,2,2,14,16,0,0.109,Low
1486,28,Sales,Sales Representative,No,2909,Low,3,4,1,3,5,1,0.752,High
1487,29,Sales,Sales Executive,No,5765,Mid,2,1,1,5,7,1,0.986,High
1489,34,Sales,Sales Executive,Yes,4599,Mid,2,4,1,15,16,1,0.872,High
1492,35,Sales,Sales Representative,No,2404,Low,3,3,4,1,1,0,0.506,Medium
1494,24,Research & Development,Laboratory Technician,Yes,3172,Low,1,2,2,0,4,1,0.994,High
1495,24,Sales,Sales Representative,No,2033,Low,2,3,4,1,1,0,0.223,Low
1496,44,Research & Development,Manufacturing Director,Yes,10209,High,3,2,2,2,16,0,0.889,High
1497,29,Sales,Sales Executive,No,8620,High,3,3,3,10,10,0,0.095,Low
1499,30,Human Resources,Human Resources,No,2064,Low,3,4,3,5,6,0,0.085,Low
1501,55,Research & Development,Healthcare Representative,Yes,4035,Mid,3,3,4,3,4,0,0.178,Low
1502,33,Research & Development,Laboratory Technician,No,3838,Mid,2,3,1,5,8,0,0.687,High
1503,47,Sales,Sales Executive,Yes,4591,Mid,3,2,3,5,11,0,0.454,Medium
1504,28,Research & Development,Laboratory Technician,No,2561,Low,1,2,3,0,8,1,0.928,High
1506,28,Research & Development,Research Scientist,No,1563,Low,3,1,1,1,1,0,0.283,Low
1507,28,Sales,Sales Executive,No,4898,Mid,1,3,3,4,5,0,0.583,Medium
1509,49,Research & Development,Laboratory Technician,No,4789,Mid,1,3,3,3,10,0,0.469,Medium
1513,29,Research & Development,Laboratory Technician,No,3180,Low,2,3,4,3,4,0,0.189,Low
1514,28,Research & Development,Manufacturing Director,No,6549,High,2,2,3,8,8,0,0.42,Medium
1515,33,Research & Development,Healthcare Representative,Yes,6388,Mid,3,3,4,0,14,0,0.285,Low
1516,32,Research & Development,Manager,No,11244,High,4,4,3,5,10,0,0.045,Low
1520,54,Research & Development,Manager,No,16032,High,4,3,2,14,26,0,0.004,Low
1522,29,Research & Development,Research Scientist,No,2362,Low,1,1,1,9,11,1,0.85,High
1523,44,Research & Development,Research Director,No,16328,High,1,4,4,20,24,0,0.154,Low
1525,39,Research & Development,Manufacturing Director,No,8376,High,2,3,2,2,9,0,0.186,Low
1527,46,Sales,Manager,No,16606,High,2,4,3,13,23,0,0.05,Low
1529,35,Research & Development,Healthcare Representative,No,8606,High,2,1,4,11,11,0,0.158,Low
1533,23,Research & Development,Laboratory Technician,No,2272,Low,3,3,1,4,5,0,0.771,High
1534,40,Research & Development,Laboratory Technician,No,2018,Low,1,1,4,5,15,1,0.601,High
1535,34,Sales,Sales Executive,Yes,7083,High,3,3,4,10,10,0,0.751,High
1537,31,Research & Development,Research Scientist,No,4084,Mid,3,1,4,7,7,1,0.524,Medium
1539,50,Research & Development,Research Director,Yes,14411,High,4,3,3,32,32,0,0.966,High
1541,34,Sales,Sales Representative,Yes,2308,Low,3,3,2,11,12,0,0.833,High
1542,42,Research & Development,Laboratory Technician,No,4841,Mid,2,3,3,1,4,0,0.521,Medium
1543,37,Research & Development,Research Scientist,No,4285,Mid,4,3,1,10,10,0,0.121,Low
1544,29,Research & Development,Healthcare Representative,No,9715,High,1,3,3,7,9,0,0.06,Low
1545,33,Research & Development,Manufacturing Director,No,4320,Mid,2,3,4,5,5,0,0.266,Low
1546,45,Research & Development,Research Scientist,No,2132,Low,4,3,4,5,8,0,0.108,Low
1547,42,Research & Development,Healthcare Representative,Yes,10124,High,4,1,4,20,24,0,0.708,High
1548,40,Sales,Sales Executive,No,5473,Mid,1,4,1,8,9,0,0.54,Medium
1549,33,Research & Development,Laboratory Technician,Yes,5207,Mid,3,3,2,15,15,0,0.735,High
1550,40,Human Resources,Manager,Yes,16437,High,4,3,3,21,21,0,0.231,Low
1551,24,Research & Development,Laboratory Technician,No,2296,Low,1,3,3,1,2,0,0.782,High
1552,40,Research & Development,Healthcare Representative,Yes,4069,Mid,4,3,4,2,8,0,0.048,Low
1553,45,Research & Development,Healthcare Representative,No,7441,High,2,3,1,10,10,0,0.224,Low
1554,35,Sales,Sales Representative,No,2430,Low,3,3,2,5,6,0,0.446,Medium
1555,32,Research & Development,Research Scientist,No,5878,Mid,2,3,4,7,12,0,0.174,Low
1556,36,Sales,Sales Representative,Yes,2644,Low,4,2,3,3,7,0,0.799,High
1557,48,Sales,Sales Executive,No,6439,Mid,3,3,3,8,18,0,0.079,Low
1558,29,Research & Development,Research Scientist,No,2451,Low,3,2,3,1,5,0,0.45,Medium
1560,33,Sales,Sales Executive,No,6392,Mid,1,1,1,2,8,0,0.341,Medium
1562,30,Sales,Sales Executive,No,9714,High,1,3,2,10,10,1,0.277,Low
1563,38,Human Resources,Human Resources,No,6077,Mid,3,3,3,6,10,0,0.64,High
1564,35,Research & Development,Laboratory Technician,No,2450,Low,1,3,4,3,3,0,0.597,Medium
1568,30,Sales,Sales Executive,No,9250,High,2,3,3,4,9,0,0.703,High
1569,35,Research & Development,Laboratory Technician,Yes,2074,Low,1,3,1,1,1,1,0.777,High
1572,53,Research & Development,Manufacturing Director,No,10169,High,4,3,3,33,34,1,0.018,Low
1573,38,Research & Development,Manufacturing Director,No,4855,Mid,2,3,3,5,7,1,0.052,Low
1574,32,Research & Development,Research Scientist,No,4087,Mid,1,2,4,6,9,0,0.214,Low
1576,48,Research & Development,Research Scientist,No,2367,Low,1,2,3,8,10,0,0.611,High
1577,34,Research & Development,Research Scientist,No,2972,Low,4,1,1,1,1,0,0.62,High
1578,55,Sales,Manager,No,19586,High,4,3,3,36,36,0,0.104,Low
1580,34,Research & Development,Research Scientist,No,5484,Mid,4,2,2,2,9,0,0.233,Low
1581,26,Research & Development,Research Scientist,No,2061,Low,4,3,1,1,1,0,0.131,Low
1582,38,Sales,Sales Executive,No,9924,High,2,3,3,9,10,0,0.121,Low
1583,38,Sales,Sales Executive,No,4198,Mid,2,4,2,3,8,0,0.412,Medium
1585,36,Sales,Sales Executive,No,6815,High,3,3,2,1,15,0,0.342,Medium
1586,29,Research & Development,Laboratory Technician,Yes,4723,Mid,1,3,2,10,10,0,0.638,High
1587,35,Research & Development,Healthcare Representative,Yes,6142,Mid,3,3,1,5,10,0,0.62,High
1588,39,Sales,Sales Executive,No,8237,High,3,3,4,7,11,0,0.125,Low
1590,29,Research & Development,Healthcare Representative,No,8853,High,4,4,1,6,6,0,0.043,Low
1591,50,Sales,Manager,Yes,19331,High,3,3,3,1,27,0,0.192,Low
1592,23,Research & Development,Research Scientist,No,2073,Low,3,3,4,2,4,0,0.179,Low
1594,36,Research & Development,Laboratory Technician,Yes,5562,Mid,1,3,1,3,9,0,0.858,High
1595,42,Research & Development,Manager,No,19613,High,4,3,4,1,24,0,0.08,Low
1596,35,Research & Development,Laboratory Technician,No,3407,Low,3,2,2,10,10,0,0.244,Low
1597,34,Research & Development,Healthcare Representative,No,5063,Mid,3,2,4,8,8,0,0.648,High
1598,40,Sales,Sales Executive,No,4639,Mid,1,3,4,5,5,0,0.245,Low
1599,43,Research & Development,Laboratory Technician,No,4876,Mid,2,3,4,6,8,0,0.58,Medium
1601,35,Research & Development,Laboratory Technician,No,2690,Low,4,2,3,1,1,0,0.131,Low
1602,46,Sales,Manager,No,17567,High,1,1,4,26,27,0,0.086,Low
1604,28,Research & Development,Laboratory Technician,Yes,2408,Low,2,3,3,1,1,1,0.856,High
1605,22,Research & Development,Research Scientist,Yes,2814,Low,3,2,2,4,4,0,0.799,High
1606,50,Research & Development,Healthcare Representative,Yes,11245,High,3,3,2,30,32,0,0.828,High
1607,32,Research & Development,Research Scientist,No,3312,Low,4,3,2,3,6,0,0.033,Low
1608,44,Research & Development,Research Director,Yes,19049,High,4,2,2,22,23,0,0.02,Low
1609,30,Research & Development,Research Scientist,No,2141,Low,2,2,2,6,6,0,0.431,Medium
1611,45,Research & Development,Laboratory Technician,Yes,5769,Mid,1,3,3,10,10,0,0.9,High
1612,45,Sales,Sales Executive,No,4385,Mid,1,3,1,10,10,0,0.628,High
1613,31,Sales,Sales Executive,No,5332,Mid,1,3,4,5,10,0,0.606,High
1614,36,Research & Development,Manufacturing Director,Yes,4663,Mid,3,3,3,3,7,0,0.722,High
1615,34,Research & Development,Manufacturing Director,No,4724,Mid,4,3,3,9,9,0,0.075,Low
1617,49,Research & Development,Laboratory Technician,No,3211,Low,1,2,3,9,10,0,0.274,Low
1618,39,Research & Development,Manufacturing Director,No,5377,Mid,1,3,2,7,10,0,0.101,Low
1619,27,Research & Development,Laboratory Technician,No,4066,Mid,1,3,4,7,7,0,0.109,Low
1621,35,Research & Development,Research Scientist,No,5208,Mid,1,3,2,16,16,0,0.058,Low
1622,28,Research & Development,Manufacturing Director,No,4877,Mid,1,2,2,5,6,0,0.377,Medium
1623,21,Research & Development,Research Scientist,No,3117,Low,4,3,3,2,3,0,0.227,Low
1624,18,Sales,Sales Representative,Yes,1569,Low,4,4,2,0,0,1,0.962,High
1625,47,Human Resources,Manager,No,19658,High,3,3,4,5,27,0,0.004,Low
1627,39,Research & Development,Laboratory Technician,No,3069,Low,3,3,3,10,11,0,0.041,Low
1628,40,Research & Development,Manufacturing Director,No,10435,High,3,3,1,18,18,0,0.22,Low
1630,35,Research & Development,Healthcare Representative,No,4148,Mid,3,3,3,14,15,0,0.002,Low
1631,37,Research & Development,Manufacturing Director,No,5768,Mid,3,2,3,4,9,0,0.241,Low
1633,39,Research & Development,Manufacturing Director,No,5042,Mid,3,1,1,9,10,0,0.492,Medium
1635,45,Research & Development,Manufacturing Director,No,5770,Mid,4,3,4,10,10,0,0.014,Low
1638,38,Research & Development,Manufacturing Director,Yes,7756,High,3,4,4,5,10,0,0.052,Low
1639,35,Sales,Sales Executive,No,10306,High,1,3,4,13,15,1,0.581,Medium
1640,37,Research & Development,Research Scientist,No,3936,Mid,2,1,2,8,8,0,0.57,Medium
1641,40,Research & Development,Manufacturing Director,Yes,7945,High,4,2,3,4,18,0,0.613,High
1642,44,Human Resources,Human Resources,Yes,5743,Mid,4,3,1,10,14,0,0.834,High
1644,48,Research & Development,Manager,No,15202,High,4,3,3,2,23,0,0.039,Low
1645,35,Sales,Sales Executive,Yes,5440,Mid,4,2,1,2,7,1,0.841,High
1646,24,Research & Development,Research Scientist,Yes,3760,Mid,4,3,1,6,6,0,0.918,High
1647,27,Research & Development,Research Scientist,No,3517,Low,3,3,2,3,5,0,0.36,Medium
1648,27,Research & Development,Research Scientist,No,2580,Low,4,2,4,4,6,0,0.46,Medium
1649,40,Research & Development,Laboratory Technician,Yes,2166,Low,1,1,1,4,10,1,0.974,High
1650,29,Sales,Sales Executive,No,5869,Mid,3,3,3,5,8,0,0.771,High
1651,36,Research & Development,Healthcare Representative,No,8008,High,1,3,2,3,9,0,0.081,Low
1653,25,Research & Development,Manufacturing Director,No,5206,Mid,3,3,4,7,7,0,0.006,Low
1654,39,Research & Development,Manufacturing Director,No,5295,Mid,2,3,4,5,7,0,0.166,Low
1655,49,Research & Development,Research Director,No,16413,High,2,3,1,4,27,0,0.024,Low
1656,50,Research & Development,Research Director,No,13269,High,1,3,4,14,19,0,0.002,Low
1657,20,Sales,Sales Representative,No,2783,Low,3,3,3,2,2,0,0.587,Medium
1658,34,Research & Development,Research Scientist,No,5433,Mid,2,3,4,11,11,0,0.025,Low
1659,36,Research & Development,Laboratory Technician,No,2013,Low,2,3,1,4,15,0,0.467,Medium
1661,49,Research & Development,Healthcare Representative,Yes,13966,High,3,3,3,15,30,0,0.061,Low
1662,36,Research & Development,Manufacturing Director,No,4374,Mid,3,3,4,3,4,0,0.019,Low
1664,36,Research & Development,Healthcare Representative,No,6842,High,1,3,4,5,13,0,0.038,Low
1665,54,Research & Development,Manager,No,17426,High,3,3,2,10,36,0,0.003,Low
1666,43,Research & Development,Research Director,No,17603,High,3,3,3,14,14,0,0.012,Low
1667,35,Sales,Sales Executive,Yes,4581,Mid,4,4,4,11,13,1,0.69,High
1668,38,Research & Development,Research Scientist,No,4735,Mid,4,4,4,13,19,0,0.007,Low
1669,29,Sales,Sales Executive,Yes,4187,Mid,2,2,1,10,10,0,0.71,High
1670,33,Sales,Sales Executive,No,5505,Mid,4,3,4,6,6,0,0.024,Low
1671,32,Research & Development,Research Scientist,No,5470,Mid,2,2,4,9,10,0,0.03,Low
1673,31,Sales,Sales Executive,No,5476,Mid,4,3,1,10,10,0,0.268,Low
1674,49,Research & Development,Laboratory Technician,Yes,2587,Low,1,2,4,2,17,0,0.638,High
1675,38,Research & Development,Laboratory Technician,No,2440,Low,2,3,4,4,4,0,0.689,High
1676,47,Sales,Manager,No,15972,High,2,3,2,3,29,0,0.013,Low
1677,49,Research & Development,Manager,No,15379,High,3,3,3,8,23,0,0.053,Low
1678,41,Sales,Sales Executive,Yes,7082,High,3,3,4,2,21,0,0.507,Medium
1680,20,Sales,Sales Representative,No,2728,Low,1,3,4,2,2,0,0.795,High
1681,33,Sales,Sales Executive,Yes,5368,Mid,4,3,3,6,7,0,0.168,Low
1682,36,Research & Development,Healthcare Representative,No,5347,Mid,3,2,1,3,10,0,0.362,Medium
1683,44,Human Resources,Human Resources,Yes,3195,Low,4,3,3,2,8,0,0.273,Low
1684,23,Research & Development,Laboratory Technician,Yes,3989,Mid,3,3,4,5,5,1,0.832,High
1687,38,Research & Development,Laboratory Technician,No,3306,Low,3,2,4,0,7,0,0.091,Low
1689,53,Research & Development,Healthcare Representative,No,7005,High,4,3,2,4,11,0,0.096,Low
1691,48,Sales,Sales Representative,Yes,2655,Low,3,3,4,9,19,1,0.601,High
1692,32,Research & Development,Laboratory Technician,No,1393,Low,2,3,4,1,1,1,0.375,Medium
1693,26,Research & Development,Laboratory Technician,No,2570,Low,4,3,4,7,7,0,0.018,Low
1694,55,Research & Development,Research Scientist,No,3537,Low,2,3,1,4,8,0,0.711,High
1696,34,Research & Development,Laboratory Technician,No,3986,Mid,4,4,2,15,15,0,0.04,Low
1697,60,Research & Development,Healthcare Representative,No,10883,High,4,4,3,1,19,0,0.009,Low
1698,33,Research & Development,Laboratory Technician,No,2028,Low,2,3,2,14,14,0,0.031,Low
1700,37,Sales,Sales Executive,No,9525,High,4,2,3,6,6,0,0.276,Low
1701,34,Research & Development,Research Scientist,No,2929,Low,4,3,2,10,10,0,0.176,Low
1702,23,Sales,Sales Representative,Yes,2275,Low,4,3,3,3,3,1,0.652,High
1703,44,Research & Development,Healthcare Representative,Yes,7879,High,4,3,3,8,9,0,0.054,Low
1704,35,Research & Development,Research Scientist,Yes,4930,Mid,4,4,1,5,6,0,0.721,High
1706,43,Sales,Sales Executive,Yes,7847,High,4,3,4,10,10,0,0.207,Low
1707,24,Research & Development,Research Scientist,No,4401,Mid,3,3,3,5,5,0,0.063,Low
1708,41,Sales,Sales Executive,No,9241,High,3,3,4,10,10,0,0.335,Medium
1709,29,Research & Development,Laboratory Technician,No,2974,Low,3,3,4,5,9,0,0.434,Medium
1710,36,Sales,Sales Representative,No,4502,Mid,4,2,3,13,17,0,0.526,Medium
1712,45,Research & Development,Healthcare Representative,No,10748,High,3,2,3,23,25,0,0.033,Low
1714,24,Human Resources,Human Resources,No,1555,Low,3,3,4,1,1,1,0.682,High
1716,47,Sales,Sales Executive,No,12936,High,3,1,3,23,25,1,0.976,High
1718,26,Research & Development,Laboratory Technician,No,2305,Low,3,4,4,3,3,0,0.325,Medium
1719,45,Research & Development,Research Director,No,16704,High,2,3,4,21,21,0,0.551,Medium
1720,32,Research & Development,Research Scientist,No,3433,Low,3,2,1,5,10,0,0.758,High
1721,31,Research & Development,Laboratory Technician,No,3477,Low,3,4,2,5,6,0,0.155,Low
1722,41,Human Resources,Human Resources,No,6430,Mid,2,3,3,3,10,0,0.296,Low
1724,40,Research & Development,Manufacturing Director,Yes,6516,Mid,1,3,2,1,18,0,0.509,Medium
1725,24,Research & Development,Laboratory Technician,No,3907,Mid,1,4,2,6,6,0,0.589,Medium
1727,46,Research & Development,Healthcare Representative,No,5562,Mid,2,3,3,10,19,0,0.077,Low
1728,35,Research & Development,Manufacturing Director,No,6883,High,3,3,4,7,17,0,0.023,Low
1729,30,Research & Development,Research Scientist,No,2862,Low,4,2,2,10,10,0,0.26,Low
1731,47,Sales,Sales Executive,No,4978,Mid,2,1,3,1,4,0,0.32,Medium
1732,46,Sales,Sales Executive,Yes,10368,High,4,2,3,10,13,0,0.162,Low
1733,36,Sales,Sales Executive,Yes,6134,Mid,1,3,2,2,16,1,0.772,High
